1,258,1
2,4081,0
2,260,1
2,2318,0
2,26,0
2,315,0
2,33,0
2,301,1
2,2686,1
2,3753,1
4,70,0
4,264,0
4,388,0
4,18,1
4,27,1
4,21,1
4,2,1
4,23,1
4,24,1
4,964,0
4,103,1
4,255,0
4,35,1
4,287,0
4,337,0
4,26,0
4,84,0
4,58,0
4,1117,0
4,660,0
4,111,0
4,5,0
4,413,0
4,8,0
4,2172,0
4,65,0
4,297,0
4,45,0
4,113,0
4,325,1
4,476,0
8,2732,1
8,1432,0
8,479,0
8,3020,1
8,614,0
8,4622,1
8,194,0
8,14,1
8,2584,1
8,55,1
8,772,0
8,778,1
8,1937,0
8,493,1
8,362,1
8,1967,0
8,529,1
4,1237,1
4,145,0
4,36,1
4,102,1
4,222,0
4,200,0
4,13,0
4,640,0
4,693,1
4,575,0
4,55,0
1,268,0
1,3638,0
1,1796,1
1,867,0
1,47,0
1,2738,0
4,1296,0
4,50,0
4,87,1
4,86,0
4,123,0
4,32,0
4,28,0
4,33,0
4,42,1
4,249,0
4,158,0
4,373,0
4,184,0
4,495,0
4,350,0
4,492,0
4,219,0
4,288,0
4,11,0
4,245,1
4,301,0
4,1057,0
4,596,0
4,782,0
4,426,0
9,397,0
9,658,0
9,101,1
9,344,0
9,372,0
9,943,1
9,1923,0
9,122,0
9,212,1
9,1642,0
9,317,0
9,33,0
9,26,0
9,9,0
9,81,0
9,60,1
9,494,0
9,238,0
9,14,0
9,570,1
9,795,0
9,2193,0
9,11,0
9,3417,1
9,4139,1
9,1055,0
9,181,1
9,5,1
9,119,0
9,4815,1
9,1221,0
9,1301,0
9,1986,0
9,1057,0
9,1037,0
9,963,0
9,596,0
9,1388,0
9,1407,0
9,227,0
9,213,0
9,587,0
9,664,0
9,476,0
9,325,0
9,407,1
9,1311,0
9,10,1
9,76,0
9,171,0
11,111,0
11,11,0
11,94,1
11,2559,1
11,522,0
11,258,0
11,408,0
11,516,0
11,426,0
11,495,0
11,574,0
11,8,1
11,26,0
11,33,0
11,3560,1
11,233,1
11,325,0
11,3703,0
11,2079,0
11,1853,0
11,115,0
8,177,1
11,47,0
15,8,1
15,2,0
15,5,0
15,101,1
15,4,0
15,24,0
15,11,1
15,27,0
15,18,0
15,21,0
15,65,1
15,13,0
15,33,1
15,26,0
15,2903,0
15,230,0
15,10,1
15,76,1
15,471,0
15,483,1
15,2339,1
15,709,1
15,167,1
15,361,0
15,326,1
15,87,1
15,304,1
15,100,0
15,306,1
15,337,1
15,92,0
15,887,0
15,119,1
15,310,1
15,465,0
15,71,0
15,1329,1
15,795,1
15,2193,0
15,3002,0
15,241,1
15,4043,0
15,148,0
15,68,1
15,1144,0
15,941,0
15,782,0
15,1993,1
15,1217,1
15,2347,1
15,688,1
15,3340,1
15,14,0
15,550,0
15,115,1
15,344,0
15,171,1
15,36,1
18,572,0
18,3566,0
18,2584,0
18,557,0
18,1102,0
18,344,0
18,3551,0
18,60,0
18,101,0
18,372,0
18,943,0
18,1923,0
18,2615,0
18,4054,1
4,3273,0
4,1037,0
4,100,0
4,48,0
4,95,0
4,1311,0
4,387,0
4,497,1
4,2190,0
4,1733,0
4,1301,0
4,489,1
4,1435,0
4,1380,1
4,221,0
4,401,0
4,131,0
4,3469,1
18,662,0
18,2770,1
18,13,0
18,119,0
18,1544,0
18,426,0
18,3219,0
18,55,0
18,48,0
18,65,1
18,405,0
18,3068,0
18,3202,0
22,264,0
22,284,0
22,350,1
8,45,0
24,378,0
24,323,0
24,100,0
24,1144,0
24,1752,1
24,860,0
24,2188,0
24,1031,1
